id,platform,accountwallet,assettype,assetname,ticker,amount,nativecurrency,nativeprice,usdprice,totalnative,totalusd,timestamp
139,Nordnet,C2017,Crypto,Solana,SOLVE.AS,962,EUR,11.711999893188477,12.84492111698727967852405906,11266.943897247314874,12356.81411454176305074014482,2024-10-06 20:00:37.703659
140,Nordnet,C2019,Crypto,Solana,SOLVE.AS,775,EUR,11.711999893188477,12.84492111698727967852405906,9076.799917221069675,9954.813865665141750856145772,2024-10-06 20:00:37.703659
141,Nordnet,C2017,Crypto,Ethereum,ETHEREUM-XBT.ST,1400,SEK,224.22000122070312,21.63746775292406634301807731,313908.00170898436800,30292.45485409369288022530823,2024-10-06 20:00:37.703659
142,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,SOL,SOL-USD,23.054770588,USD,145.40391540527344,145.40391540527344,3352.25391226553820460958272,3352.25391226553820460958272,2024-10-06 20:00:37.703659
143,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,JitoSOL,JitoSOL-USD,46.204793577,USD,166.3882141113281355413423407,166.3882141113281355413423407,7687.933086659595,7687.933086659595,2024-10-06 20:00:37.703659
144,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,USDC,USDC-USD,1500,USD,1.0,1.0,1500.0,1500.0,2024-10-06 20:00:37.703659
145,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,$WIF,$WIF-USD,11511.761187,USD,2.446161031723022226381771101,2.446161031723022226381771101,28159.621622140963,28159.621622140963,2024-10-06 20:00:37.703659
146,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,Manyu,Manyu-USD,119693.95017,USD,0.02854399941861629680393394606,0.02854399941861629680393394606,3416.544044064368,3416.544044064368,2024-10-06 20:00:37.703659
147,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,POPCAT,POPCAT-USD,20000,USD,1.3882776498794554,1.3882776498794554,27765.552997589108,27765.552997589108,2024-10-06 20:00:37.703659
148,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,mSOL,mSOL-USD,42.414161512,USD,178.0921630859375127094932632,178.0921630859375127094932632,7553.629769148398,7553.629769148398,2024-10-06 20:00:37.703659
149,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,HNT,HNT-USD,150,USD,7.402236461639404,7.402236461639404,1110.3354692459106,1110.3354692459106,2024-10-06 20:00:37.703659
150,Solana,91Cx4bC9gebA1pKxWANFRfQxkTw3VhsiqESoGZkeVpRg,Crypto,SOL,SOL-USD,50.015650710,USD,145.40391540527344,145.40391540527344,7272.47144477654446708014240,7272.47144477654446708014240,2024-10-06 20:00:37.703659
151,Solana,91Tv1BffxuonSvRoDqQEGfnSK5nAbS8Y9QAasjyTWLG6,Crypto,POPCAT,POPCAT-USD,1500,USD,1.388277649879455533333333333,1.388277649879455533333333333,2082.4164748191833,2082.4164748191833,2024-10-06 20:00:37.703659
152,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Ethereum,ETH-USD,0.040433029243825502,USD,2440.97913083251614807522855699062347412109375,2440.97913083251614807522855699062347412109375,98.69618058051888150485593815,98.69618058051888150485593815,2024-10-06 20:00:37.703659
153,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Aave Interest bearing DAI,aDAI-USD,29.206292927826244581,USD,0.98047727051723099211955059217871166765689849853515625,0.98047727051723099211955059217871166765689849853515625,28.63610637180178318832495637,28.63610637180178318832495637,2024-10-06 20:00:37.703659
154,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Wrapped Ether,WETH-USD,0.015332352941176471,USD,2440.97913083251614807522855699062347412109375,2440.97913083251614807522855699062347412109375,37.42595355597031476956836701,37.42595355597031476956836701,2024-10-06 20:00:37.703659
155,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Maker,MKR-USD,0.02,USD,1460.757672630775459765573032200336456298828125,1460.757672630775459765573032200336456298828125,29.21515345261550919531146064,29.21515345261550919531146064,2024-10-06 20:00:37.703659
156,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Dai Stablecoin,DAI-USD,18,USD,1.0010480090901376915013543111854232847690582275390625,1.0010480090901376915013543111854232847690582275390625,18.01886416362247844702437760,18.01886416362247844702437760,2024-10-06 20:00:37.703659
157,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,ether.fi ETH,eETH-USD,0.020346890994380707,USD,2439.108251454328637919388711452484130859375,2439.108251454328637919388711452484130859375,49.62826971583575235028472016,49.62826971583575235028472016,2024-10-06 20:00:37.703659
158,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,CRYPTOFORCE,COF-USD,9066236.246704335,USD,0.00000217436890113000012020728728134866258869806188158690929412841796875,0.00000217436890113000012020728728134866258869806188158690929412841796875,19.71334214513148156778506362,19.71334214513148156778506362,2024-10-06 20:00:37.703659
159,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,PAAL AI,$PAAL-USD,1920.989319389,USD,0.227307462580592367640264228612068109214305877685546875,0.227307462580592367640264228612068109214305877685546875,436.6552078347327178737192485,436.6552078347327178737192485,2024-10-06 20:00:37.703659
160,Ethereum,0xb42Bc5C2E168C95f6dbF4AA0733CA0Fa5B15B4F1,Crypto,Ethereum,ETH-USD,9.059570348486367556,USD,2440.97913083251614807522855699062347412109375,2440.97913083251614807522855699062347412109375,22114.22215496428890344353303,22114.22215496428890344353303,2024-10-06 20:00:37.703659
161,Coinbase,DEFAULT,Crypto,SUI,SUI-USD,750.1354000000000041836756281554698944091796875,USD,1.829149910802769866046362533,1.829149910802769866046362533,1372.110100000000102227204479277133941650390625,1372.110100000000102227204479277133941650390625,2024-10-06 20:00:37.703659
162,Coinbase,DEFAULT,Crypto,DOGE,DOGE-USD,8651.400999999999839928932487964630126953125,USD,0.1106800043137521919484961269,0.1106800043137521919484961269,957.53710000000000945874489843845367431640625,957.53710000000000945874489843845367431640625,2024-10-06 20:00:37.703659
163,Nordnet,C2019,Crypto,Ethereum,ETHEREUM-XBT.ST,1000,SEK,224.22000122070312,21.63746775292406634301807731,224220.00122070312000,21637.46775292406634301807731,2024-10-06 22:00:59.003992
164,Nordnet,C2020,Crypto,Ethereum,ETHEREUM-XBT.ST,735,SEK,224.22000122070312,21.63746775292406634301807731,164801.70089721679320,15903.53879839918876211828682,2024-10-06 22:00:59.003992
165,Nordnet,C2017,Crypto,Bitcoin,BITCOIN-XBT.ST,125,SEK,2970.110107421875,286.6187731785666947085571289,371263.763427734375,35827.34664732083683856964111,2024-10-06 22:00:59.003992
166,Nordnet,C2017,Crypto,Solana,SOLVE.AS,962,EUR,11.711999893188477,12.85196902952066077802363038,11266.943897247314874,12363.59420639887566845873243,2024-10-06 22:00:59.003992
167,Nordnet,C2019,Crypto,Solana,SOLVE.AS,775,EUR,11.711999893188477,12.85196902952066077802363038,9076.799917221069675,9960.275997878512102968313544,2024-10-06 22:00:59.003992
168,Nordnet,C2017,Crypto,Ethereum,ETHEREUM-XBT.ST,1400,SEK,224.22000122070312,21.63746775292406634301807731,313908.00170898436800,30292.45485409369288022530823,2024-10-06 22:00:59.003992
169,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,SOL,SOL-USD,23.054770588,USD,144.48037719726562,144.48037719726562,3330.96195075066528999958456,3330.96195075066528999958456,2024-10-06 22:00:59.003992
